,Code,Title,2019,2018
0,,營業收入Operating revenue,,
1,4000.0,營業收入合計　Total operating revenue,6535609,6675944
2,,營業成本Operating costs,,
3,5000.0,營業成本合計　Total operating costs,4346986,4424599
4,5900.0,營業毛利（毛損）Gross profit (loss) from operations,2188623,2251345
5,5950.0,營業毛利（毛損）淨額Gross profit (loss) from operations,2188623,2251345
6,,營業費用Operating expenses,,
7,6100.0,推銷費用　Selling expenses,168616,201245
8,6200.0,管理費用　Administrative expenses,756904,916785
9,6000.0,營業費用合計　Total operating expenses,925520,1118030
10,6900.0,營業利益（損失）Net operating income (loss),1263103,1133315
11,,營業外收入及支出Non-operating income and expenses,,
12,,其他收入　Other income,,
13,7010.0,其他收入合計 Total other income,86831,50999
14,,其他利益及損失　Other gains and losses,,
15,7020.0,"其他利益及損失淨額 Other gains and losses, net",370346,509406
16,,財務成本　Finance costs,,
17,7050.0,"財務成本淨額 Finance costs, net",100659,26379
18,,採用權益法認列之關聯企業及合資損益之份額　Share of profit (loss) of associates and joint ventures accounted for using equity method,,
19,7060.0,"採用權益法認列之關聯企業及合資損益之份額淨額 Share of profit (loss) of associates and joint ventures accounted for using equity method, net",11375,6921
20,7000.0,營業外收入及支出合計　Total non-operating income and expenses,367893,540947
21,7900.0,繼續營業單位稅前淨利（淨損）Profit (loss) from continuing operations before tax,1630996,1674262
22,,所得稅費用（利益）Tax expense (income),,
23,7950.0,所得稅費用（利益）合計　Total tax expense (income),246131,276259
24,8000.0,繼續營業單位本期淨利（淨損）Profit (loss) from continuing operations,1384865,1398003
25,8200.0,本期淨利（淨損）Profit (loss),1384865,1398003
26,,其他綜合損益(淨額)Other comprehensive income,,
27,,不重分類至損益之項目　Components of other comprehensive income that will not be reclassified to profit or loss,,
28,8311.0,確定福利計畫之再衡量數 Gains (losses) on remeasurements of defined benefit plans,"(1,551)","(12,392)"
29,8349.0,與不重分類之項目相關之所得稅 Income tax related to components of other comprehensive income that will not be reclassified to profit or loss,(779),"(3,430)"
30,8310.0,不重分類至損益之項目總額 Components of other comprehensive income that will not be reclassified to profit or loss,(772),"(8,962)"
31,,後續可能重分類至損益之項目　Components of other comprehensive income that will be reclassified to profit or loss,,
32,8361.0,國外營運機構財務報表換算之兌換差額 Exchange differences on translation,"(56,063)",43813
33,8360.0,後續可能重分類至損益之項目總額 Components of other comprehensive income that will be reclassified to profit or loss,"(56,063)",43813
34,8300.0,"其他綜合損益（淨額）　Other comprehensive income, net","(56,835)",34851
35,8500.0,本期綜合損益總額Total comprehensive income,1328030,1432854
36,,"淨利（損）歸屬於：Profit (loss), attributable to:",,
37,8610.0,"母公司業主（淨利／損）　Profit (loss), attributable to owners of parent",1344181,1368866
38,8620.0,"非控制權益（淨利／損）　Profit (loss), attributable to non-controlling interests",40684,29137
39,,綜合損益總額歸屬於：Comprehensive income attributable to:,,
40,8710.0,"母公司業主（綜合損益）　Comprehensive income, attributable to owners of parent",1286282,1403731
41,8720.0,"非控制權益（綜合損益）　Comprehensive income, attributable to non-controlling interests",41748,29123
42,,基本每股盈餘Basic earnings per share,,
43,9710.0,繼續營業單位淨利（淨損）　Basic earnings (loss) per share from continuing operations,10.58,10.80
44,9750.0,基本每股盈餘合計　Total basic earnings per share,10.58,10.80
45,,稀釋每股盈餘Diluted earnings per share,,
46,9810.0,繼續營業單位淨利（淨損）　Diluted earnings (loss) per share from continuing operations,9.98,10.21
47,9850.0,稀釋每股盈餘合計　Total diluted earnings per share,9.98,10.21
